"time","t2m","sf","tp"
2000-01-01,7.47628173828127,1.82274170219898,17.2547512338497
2000-02-01,10.1111694335938,0.270677730441093,3.78870160784572
2000-03-01,15.9202514648438,0.000144354999065399,8.157958422089
2000-04-01,28.067529296875,0,1.7455562192481
2000-05-01,31.195703125,0,1.0437518285471
2000-06-01,34.59267578125,0,3.40021746524144
2000-07-01,36.885400390625,0,0.019925830486045
2000-08-01,36.462548828125,0,0.0136703214934641
2000-09-01,29.5501953125,0,1.24427082482725
2000-10-01,18.5741821289063,0,6.94379799824674
2000-11-01,11.0635009765625,0.00276602804660797,5.34020786290057
2000-12-01,8.40633544921877,0.588131137192249,17.092362686526
2001-01-01,3.32149658203127,3.11852991580963,3.27306374674663
2001-02-01,10.2716918945313,0.119328498840332,9.58196388091892
2001-03-01,18.0325866699219,10.9057314693928,22.1338581759483
2001-04-01,26.59365234375,0,0.976708470261656
2001-05-01,33.4662109375,0,4.36026169336401
2001-06-01,36.758935546875,0,0.0549092862911493
2001-07-01,35.058740234375,0,0.269037484940782
2001-08-01,34.17861328125,0,0.0567987510748935
2001-09-01,27.82802734375,0,0.080123538737098
2001-10-01,19.300927734375,0.00690016895532608,7.29957713338081
2001-11-01,14.6634155273438,0,5.26181131135672
2001-12-01,7.89254150390627,0,30.7652802439407
2002-01-01,8.73281250000002,3.37686762213707,10.2768615470268
2002-02-01,11.446435546875,2.20799446105957,6.41301082214341
2002-03-01,18.5325561523438,0.00332016497850418,9.62231628363952
2002-04-01,20.76259765625,0,36.3200821448117
2002-05-01,27.629052734375,0,6.16569658450317
2002-06-01,34.104150390625,0,1.20113119919552
2002-07-01,36.826318359375,0,1.15065877253073
2002-08-01,36.39296875,0,2.62026337441057
2002-09-01,31.015283203125,0,0.00766515427130798
2002-10-01,24.6302734375,0,0.499732759635663
2002-11-01,15.4968200683594,0,2.30503079365008
2002-12-01,2.6154724121094,6.17570895701647,12.3183037794661
2003-01-01,8.2714782714844,0.440917909145355,16.7635598918423
2003-02-01,10.0056396484375,0.0697560608386993,18.1812506634742
2003-03-01,12.7039428710938,0.276064500212669,51.1240952182561
2003-04-01,21.12978515625,0,28.6127510480583
2003-05-01,26.338037109375,0,14.0186919888947
2003-06-01,32.22255859375,0,4.46092177298851
2003-07-01,36.927392578125,0,0.0389181042237396
2003-08-01,35.827783203125,0,0.233846893934242
2003-09-01,29.31240234375,0,0.05640685230901
