"time","t2m","sf","tp"
2000-01-01,5.39620361328127,8.70272982865572,23.4528929577209
2000-02-01,6.44906005859377,9.5699243247509,23.3388611814007
2000-03-01,13.1546264648438,5.19602932035923,19.9047607602552
2000-04-01,22.282373046875,0,30.0995225552469
2000-05-01,27.594140625,0,22.7510479744524
2000-06-01,32.24111328125,0,18.4541149064898
2000-07-01,34.990869140625,0,11.9873013754841
2000-08-01,34.470361328125,0,2.652941737324
2000-09-01,27.9076171875,0,11.2176180118695
2000-10-01,15.1601196289063,0,43.7977433903143
2000-11-01,8.97756347656252,1.10713765025139,11.6560282185674
2000-12-01,6.38875732421877,0.928433611989021,34.1225588927045
2001-01-01,1.72969970703127,12.512662447989,16.4756564772688
2001-02-01,7.66231689453127,3.20403277873993,27.3683764971793
2001-03-01,15.4661804199219,5.34592755138874,33.8262666482478
2001-04-01,21.15419921875,0,42.4910453148186
2001-05-01,29.9447265625,0,11.9817437080201
2001-06-01,34.917138671875,0,3.71903035556898
2001-07-01,32.906396484375,0,5.58707573509309
2001-08-01,31.72744140625,0,18.1875551934354
2001-09-01,26.19130859375,0,1.99298563529737
2001-10-01,16.822412109375,2.14398931711912,53.297778358683
2001-11-01,11.9856811523438,0.00947155058383942,36.1304590478539
2001-12-01,5.39840087890627,2.96609103679657,27.336906758137
2002-01-01,6.27187500000002,5.0794193521142,23.4047361300327
2002-02-01,7.63002929687502,25.2915397286415,50.7767177186906
2002-03-01,14.4505249023438,5.87605684995651,48.260030685924
2002-04-01,17.34853515625,0,133.363637141883
2002-05-01,22.599755859375,0,55.4080752190202
2002-06-01,28.627587890625,0,34.7139907535166
2002-07-01,33.004052734375,0,6.54237561684567
2002-08-01,33.4828125,0,2.41470185574144
2002-09-01,28.566064453125,0,0.346741080647917
2002-10-01,22.6029296875,0,5.02508864155971
2002-11-01,13.7194763183594,0,8.22555972263217
2002-12-01,-0.864996337890602,20.1496193185449,45.0111301615834
2003-01-01,6.4687438964844,0.864686444401741,20.3898729523644
2003-02-01,7.73024902343752,8.69676843285561,34.1048268601298
2003-03-01,11.7918334960938,0.402721576392651,37.6132756937295
2003-04-01,16.76650390625,0.334549695253372,72.9483249597251
2003-05-01,21.381005859375,0,67.5023319199681
2003-06-01,27.94521484375,0,20.9674600046128
2003-07-01,33.329736328125,0,2.08644941449165
2003-08-01,33.001611328125,0,1.32863517865189
2003-09-01,27.41201171875,0,3.15212317218538
2003-10-01,20.692529296875,0,15.4781399760395
2003-11-01,9.63884887695315,4.14364971220493,61.6406346671283
2003-12-01,3.18123779296877,10.423325933516,42.0409899670631
2004-01-01,7.0202575683594,0.244335271418095,36.0287558287382
2004-02-01,10.8236938476563,0.140119343996048,16.2927882629447
2004-03-01,13.2531982421875,0.340793281793594,47.3377971211448
2004-04-01,18.5111328125,0.305268913507462,45.6008466426283
2004-05-01,26.2982421875,0,42.7005804376677
2004-06-01,32.836572265625,0,11.8087779264897
2004-07-01,31.756982421875,0,32.2045104112476
2004-08-01,32.223779296875,0,6.09802296094131
2004-09-01,28.33388671875,0,0.597324215050321
2004-10-01,17.981103515625,0.61503890901804,10.8373685507104
2004-11-01,13.3267456054688,0,34.8801130894572
2004-12-01,5.24416503906252,12.0104225352407,58.0608689924702
2005-01-01,3.69509277343752,10.1856309920549,36.6263277828693
2005-02-01,3.46431884765627,10.6010958552361,38.8270122930408
2005-03-01,16.0752197265625,0.460117124021053,47.0544210402295
2005-04-01,19.472802734375,1.08947977423668,25.5696172825992
2005-05-01,23.8890625,0,41.8397302273661
2005-06-01,32.379052734375,0,11.2205499317497
2005-07-01,35.47646484375,0,3.1507278472418
2005-08-01,30.832666015625,0,9.29490471025929
2005-09-01,29.74453125,0,1.11959427158581
2005-10-01,20.578271484375,0,6.5989226277452
2005-11-01,10.8810668945313,0.000251457095146179,27.5282812071964
2005-12-01,5.94210205078127,3.87183204293251,28.3830690896139
2006-01-01,-0.989233398437477,32.232248224318,37.6684698276222
2006-02-01,9.27071533203127,0.827737152576447,23.5592115204781
2006-03-01,14.4936462402344,0,35.0340993609279
2006-04-01,20.774560546875,0,15.4911959543824
2006-05-01,27.941796875,0,15.2609326178208
2006-06-01,31.997216796875,0,6.28291352768429
2006-07-01,33.393212890625,0,6.42575121310074
2006-08-01,34.76357421875,0,0.0107362832295621
2006-09-01,26.619775390625,0,7.28618804714642
2006-10-01,21.182763671875,0,44.8199536185712
2006-11-01,10.6854797363281,10.5073861777782,50.0391272362322
2006-12-01,1.68941650390627,12.2048398479819,30.132261919789
2007-01-01,3.55739746093752,13.2126687094569,23.8059618277475
2007-02-01,8.64983520507815,5.21736219525337,32.2210253216326
2007-03-01,12.5315185546875,0,36.8281938135624
2007-04-01,21.945458984375,0,55.8918993920088
2007-05-01,25.49697265625,0,27.792796085123
2007-06-01,32.27333984375,0,5.13346036314033
2007-07-01,34.045068359375,0,10.3165835316759
2007-08-01,33.528955078125,0,5.94009182532318
2007-09-01,28.42275390625,0,0.00685453187543317
2007-10-01,18.831201171875,0,1.78035648059449
2007-11-01,14.0602966308594,0,15.2917887317017
2007-12-01,3.07442626953127,7.81526416540146,42.7387478994206
2008-01-01,-5.59030761718748,14.8045290261507,18.3026476297528
2008-02-01,2.86690673828127,14.6306687965989,18.3723083464429
2008-03-01,18.5563598632813,0,11.5549689799082
2008-04-01,21.059228515625,0,31.4494071062654
2008-05-01,27.998681640625,0,21.1748465662822
2008-06-01,33.867578125,0,3.44143350957893
2008-07-01,35.324365234375,0,6.02764989889693
2008-08-01,35.2083984375,0,0.743752085327287
